Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
023530	KR7023530009	롯데쇼핑	KOSPI		71300	2	-200	-0.28	71100	72000	70900	21460	1529966800	2016988231500	28288755	STK
112040	KR7112040001	위메이드	KOSDAQ	우량기업부	59100	1	3600	6.49	57500	62100	57400	2389734	142679657700	2003370381600	33897976	KSQ
000990	KR7000990002	DB하이텍	KOSPI		43950	2	-1400	-3.09	44850	44850	43950	304752	13475878750	1951317942600	44398588	STK
041510	KR7041510009	에스엠	KOSDAQ	우량기업부	81800	1	500	0.62	80100	82700	80100	94683	7736933500	1929622899600	23589522	KSQ
010060	KR7010060002	OCI홀딩스	KOSPI		93700	1	700	0.75	92200	94200	92100	51747	4838043700	1837106749400	19606262	STK
139480	KR7139480008	이마트	KOSPI		65400	2	-1400	-2.1	66800	66800	65000	230283	15100974800	1823078562600	27875819	STK
026960	KR7026960005	동서	KOSPI		17830	1	320	1.83	17400	17830	17290	131520	2327003540	1777651000000	99700000	STK
278470	KR7278470000	에이피알	KOSPI		233000	2	-17500	-6.99	247500	248000	232000	222573	53065857000	1767160074000	7584378	STK
111770	KR7111770004	영원무역	KOSPI		39750	1	50	0.13	39350	40200	39300	90274	3600419950	1761380853000	44311468	STK
417200	KR7417200003	LS머트리얼즈	KOSDAQ	중견기업부	25750	1	100	0.39	26500	27300	25500	2589042	68309732500	1742055969250	67652659	KSQ
457190	KR7457190007	이수스페셜티케미컬	KOSPI		311000	2	-1500	-0.48	312000	321000	300500	121093	37514709000	1741547752000	5599832	STK
009420	KR7009420001	한올바이오파마	KOSPI		33000	2	-1000	-2.94	33000	33850	32750	360290	11926497650	1723941054000	52240638	STK
006040	KR7006040000	동원산업	KOSPI		36900	2	-100	-0.27	36850	37300	36500	17160	632892450	1715210338500	46482665	STK
067630	KR7067630004	HLB생명과학	KOSDAQ	중견기업부	15900	2	-1000	-5.92	16860	16860	15800	2601770	41903688010	1699635937800	106895342	KSQ
281740	KR7281740001	레이크머티리얼즈	KOSDAQ	우량기업부	25650	2	-1150	-4.29	26450	27150	25200	1394909	35921936150	1685988556200	65730548	KSQ
004170	KR7004170007	신세계	KOSPI		170200	2	-2000	-1.16	171000	172300	169300	34515	5887415300	1675649806200	9845181	STK
